FECHA CT,NUMERO TICKET,MOTIVO,ID TIENDA,DIRECCION,LOCALIDAD,TIPO VISITA,GRUPO,ESTADO,PRECIO,1° REMITO,2° REMITO,ESTADO FINAL
25/11/2024 8:44:56,5685766,T 1035 DESAGUES DE MURALES TAPADO,1035,AGUERO ESQUINA BALCARCE 935,MORON,EMERGENCIA,G-NAZA,TERMINADO,105000,TRUE,TRUE,APROBADO
9/12/2024 9:14:17,5700336,TIENDA 1009 NO FUNCIONAN LAS MOCHILAS DE LOS BAÑOS DE CLIENTE Y DEL PERSONAL,1009,CL EVA PERON 297,LOMAS DEL MIRADOR,EMERGENCIA,G-MANU,TERMINADO,"279638,48",TRUE,TRUE,APROBADO
9/12/2024 10:10:29,5701224,T1008 - REPARAR PORTÓN PRINCIPAL Y ABRIR PORTÓN TRASERO - ACONTEC,1008,BERNARDO ADER 775,BOULOGNE,EMERGENCIA,G-ALEXIS,TERMINADO,57200,TRUE,TRUE,APROBADO
26/12/2024 9:10:53,5716989,T1098 - LIMPIEZA EN DEPOSITO,1098,AVENIDA JUAN BAUTISTA ALBERDI 1550,CABALLITO,PRESUPUESTO,G-ALEXIS,TERMINADO,713000,TRUE,TRUE,APROBADO
22/10/2024 9:51:46,5624677,SE SOLICITA REPARACIÓN DE FILTRACIONES. CUANDO LLUEVE ENTRA MUCHA AGUA,44,CL BRI.GRL DON J.M.DE ROSAS 945,LOMAS DEL MIRADOR,PRESUPUESTO,G-MANU,TERMINADO,3500000,TRUE,TRUE,APROBADO
30/10/2024 14:38:38,5649669,RELEVAR PLACAS CAIDAS,5371,CONSTITUCION 560,MERLO,PRESUPUESTO,G-ALEXIS,TERMINADO,"1599917,2",TRUE,TRUE,APROBADO
29/11/2024 8:26:54,5689534,T1006 - FOSA TAPADA,1006,CL J. S. CROVARA 2472,TABLADA,EMERGENCIA,G-NAZA,TERMINADO,210000,TRUE,TRUE,APROBADO
29/11/2024 10:07:16,5690893,T700 - FILTRACIONES,700,LOPE DE VEGA 2159,VILLA REAL,PRESUPUESTO,G-MANU,TERMINADO,46000,TRUE,TRUE,APROBADO
30/11/2024 10:04:55,5692152,T1006 DESAGÜES DE MURALES,1006,CL J. S. CROVARA 2472,TABLADA,EMERGENCIA,G-NAZA,TERMINADO,210300,TRUE,TRUE,APROBADO
9/12/2024 10:09:43,5700862,T44 PARED CON HUMEDAD,44,CL BRI.GRL DON J.M.DE ROSAS 945,LOMAS DEL MIRADOR,PRESUPUESTO,G-MANU,TERMINADO,946800,TRUE,TRUE,APROBADO
16/12/2024 10:23:38,5707705,T1027 - CORTE DE PASO - VIENE DEL TKT 5703669,1027,F.L.BELTRAN Y GRAL PINTO 2269,ITUZAINGO,EMERGENCIA,G-NAZA,TERMINADO,1067000,TRUE,TRUE,APROBADO
26/12/2024 9:11:35,5715968,T68 FALTANTE DE BARRAL Y RAMPA DE DESCARGA CON POZOS,68,CAP.CLAUDIO ROSALES 1549,EL PALOMAR,EMERGENCIA,G-NAZA,TERMINADO,707500,TRUE,TRUE,APROBADO
26/12/2024 10:52:04,5717331,T30 - PAREDES DE DEPOSITO - ACONTEC (PRESUPUESTAR),30,RIVADAVIA 16275,HAEDO,PRESUPUESTO,G-NAZA,TERMINADO,"46935,83",TRUE,TRUE,APROBADO
27/12/2024 15:40:50,5719033,TIENDA 48 CORTE DE PASTO Y PODA DE ÁRBOL,48,HUMBERTO PRIMERO 1000,LUJAN,EMERGENCIA,G-ALEXIS,TERMINADO,46900,TRUE,TRUE,APROBADO
2/1/2025 9:25:08,5723503,T773 - PUERTA CORREDIZA - ACONTEC,773,AV LOPE DE VEGA 2839,VILLA REAL,EMERGENCIA,G-MANU,TERMINADO,46900,TRUE,TRUE,APROBADO
2/1/2025 13:45:06,5724339,T5167 TIENDA SIN AGUA,5167,PRIMERO DE MAYO 2156,PABLO PODESTA,PRESUPUESTO,G-NAZA,TERMINADO,1600000,TRUE,TRUE,APROBADO
3/1/2025 11:17:55,5725333,T110 - CAMBIO DE PLACAS ROTAS Y FALTANTES - ACONTEC (PRESUPUESTAR),110,AV ROCA 3729,TRUJUI,PRESUPUESTO,G-ALEXIS,TERMINADO,1711202,TRUE,TRUE,APROBADO
5/1/2025 11:01:25,5727274,T630 TUBERÍAS DE AGUAS NEGRAS OBSTRUIDAS Y REBASADAS - ACONTEC,630,AV CARRASCO 487,VELEZ SARSFIELD,EMERGENCIA,G-NAZA,TERMINADO,210300,TRUE,TRUE,APROBADO
10/9/2024 23:04:14,5358821,"LA ENTRADA VEHICULAR ESTA TODA ROTA CON LOS FIERROS LEVANTADOS, YA VARIOS CLIENTES SE ACERCARON HACER EL RECLAMO EN TIENDA Y QUE VAN HACER LA DENUNCIA EN LA MUNICIPALIDAD",1008,BERNARDO ADER 775,BOULOGNE,PRESUPUESTO,G-NAZA,TERMINADO,693500,TRUE,TRUE,APROBADO
30/10/2024 14:43:35,5653265,PRESUPUESTAR ARREGLO DE VEREDA,5501,ZARATE 155,MERLO,PRESUPUESTO,G-ALEXIS,TERMINADO,1645273,TRUE,TRUE,APROBADO
30/10/2024 14:42:07,5651250,BARRALES DE SEGURIDAD - ACONTEC,5318,CRISOLOGO LARRALDE 992,MORON,PRESUPUESTO,G-ALEXIS,TERMINADO,704300,TRUE,TRUE,APROBADO
30/10/2024 14:52:16,5655362,T1080 - CORTAR EL PASTO TRASERO DE LA TIENDA.,1080,AV AVELLANEDA 848,CABALLITO,EMERGENCIA,G-MANU,TERMINADO,640500,TRUE,TRUE,APROBADO
4/11/2024 8:52:06,5657110,T139 - RELEVAR CERRAMIENTOS,139,PUEYRREDON 2663,VILLA BALLESTER,PRESUPUESTO,G-ALEXIS,TERMINADO,306500,TRUE,TRUE,APROBADO
29/11/2024 10:13:15,5691816,T5392 - RELEVAR CERRAMIENTOS,5392,ARISTOBULO DEL VALLE 3349,MERLO,PRESUPUESTO,G-NAZA,TERMINADO,304700,TRUE,TRUE,APROBADO
30/11/2024 10:05:26,5692169,T 293-FILTRACION POR LLUVIA,293,BOLIVAR 1474,SAN TELMO,PRESUPUESTO,G-MANU,TERMINADO,273000,TRUE,TRUE,APROBADO
19/12/2024 10:00:10,5713159,T5341 - TERMOTANQUE PINCHADO,5341,CALLE 49 7582,JOSE LEON SUAREZ,PRESUPUESTO,G-ALEXIS,TERMINADO,"804666,27",TRUE,TRUE,APROBADO
20/11/2024 9:06:42,5678122,T 99 ACTA MUNICIPAL - PUERTA F60 COLOCAR AL LADO DE LA CARPINTERÍA VERLO CON FLORENCIA,99,S.M. DEL CARRIL Y RUTA 7 169,PASO DEL REY,PRESUPUESTO,G-NAZA,TERMINADO,1983200,TRUE,TRUE,APROBADO
25/11/2024 8:34:42,5681949,MARCAR EL ESTACIONAMIENTO A 45' CONTRA LA PARED DEL LOCAL PONER AL MENOS UN CARTEL DE PEORIDAD PARA DISCAPACITADOS PONER CARTEL EN LA ENTRADA QUE DIGA ESTACIONAMIENTO EXCLUSIVO PARA CLIENTES MARCAR SENDA PEATONAL EN LA VEREDA PONER CHICHARRA EN LA VEREDA QUE INDIQUE LA ENTRADA Y SALIDA DE VEHÍCULOS MÁS ALLÁ DE LA QUE PUSIERON EN EL PORTÓN DE INGRESO DEL CAMIÓN,99,S.M. DEL CARRIL Y RUTA 7 169,PASO DEL REY,PRESUPUESTO,G-NAZA,TERMINADO,669000,TRUE,TRUE,APROBADO
26/12/2024 9:16:05,5711913,T1008 - DESAGÜES DE MURALES,1008,BERNARDO ADER 775,BOULOGNE,EMERGENCIA,G-NAZA,TERMINADO,273000,TRUE,TRUE,APROBADO
26/12/2024 13:37:13,5718122,T1008 MURALES PIERDEN AGUA,1008,BERNARDO ADER 775,BOULOGNE,EMERGENCIA,G-NAZA,TERMINADO,46900,TRUE,TRUE,APROBADO
2/1/2025 13:46:00,5724177,T36 - DESAGÜE ROTO DE CAMARA Y GUARDAGANADO TAPADO - ACONTEC,36,JOSE MARIA MORENO 779,CABALLITO,PRESUPUESTO,G-MANU,TERMINADO,46935,TRUE,TRUE,APROBADO
3/1/2025 8:27:11,5725162,T5128 DESAGUE DE MURALES,5128,VIAMONTE2974,LANUS,EMERGENCIA,G-MANU,TERMINADO,46900,TRUE,TRUE,APROBADO
3/1/2025 15:46:57,5725901,T90 CAMBIO DE PUERTA DE BAÑO DE HOMBRE,90,HIDALGO 860,CABALLITO,EMERGENCIA,G-MANU,TERMINADO,554000,TRUE,TRUE,APROBADO
6/1/2025 8:19:45,5727902,T908 - RELEVAR DURLOCK DE CFA - ACONTEC,908,FRANKLIN 1151,CABALLITO,PRESUPUESTO,G-MANU,TERMINADO,339400,TRUE,TRUE,APROBADO
6/1/2025 14:17:06,5728502,TIENDA 36 BOMBA DE AGUA NO FUNCIONA,36,JOSE MARIA MORENO 779,CABALLITO,PRESUPUESTO,G-MANU,TERMINADO,1572000,TRUE,TRUE,APROBADO
6/1/2025 15:02:05,5728909,T630 FALTA DE TECHO (CIELO RASO) EN ENTRADA,630,AV CARRASCO 487,VELEZ SARSFIELD,EMERGENCIA,G-MANU,TERMINADO,130661,TRUE,TRUE,APROBADO
8/1/2025 11:12:43,5731000,TIENDA 100 TIENDA SIN AGUA.,100,AV PARANA 6370,VILLA ADELINA,EMERGENCIA,G-ALEXIS,TERMINADO,100051,TRUE,TRUE,APROBADO
8/1/2025 13:17:06,5731250,TIENDA 5401 ATMOSFÉRICO,5401,DE LA TRADICION 185,ITUZAINGO,EMERGENCIA,G-NAZA,TERMINADO,"414024,47",TRUE,TRUE,APROBADO
8/1/2025 13:18:54,5730835,TIENDA 110 ATMOSFÉRICO,110,AV ROCA 3729,TRUJUI,EMERGENCIA,G-NAZA,TERMINADO,414000,TRUE,TRUE,APROBADO
8/1/2025 14:30:42,5731382,T 1011 DESAGUE TAPADO DEPOSITO,1011,ZEBALLOS 3028,CASTELAR,EMERGENCIA,G-ALEXIS,TERMINADO,132200,TRUE,TRUE,APROBADO
9/1/2025 11:39:14,5731995,T5401 Mural con perdida de agua,5401,DE LA TRADICION 185,ITUZAINGO,EMERGENCIA,G-ALEXIS,TERMINADO,"46935,83",TRUE,TRUE,APROBADO
9/1/2025 13:30:41,5706459,pintura para pared descascarada del merendero y tablas,630,AV CARRASCO 487,VELEZ SARSFIELD,PRESUPUESTO,G-ALEXIS,TERMINADO,1424000,TRUE,TRUE,APROBADO
9/1/2025 17:20:39,5732736,T1015 - MMTO PARA DURLOCK Y TRABA DE PERSIANA,1015,AV BARTOLOME MITRE 3244,MORENO,EMERGENCIA,G-ALEXIS,TERMINADO,291000,TRUE,TRUE,APROBADO
10/1/2025 11:02:29,5732998,"T 1029 alambrado roto, corte de pasto y limpieza baldío",1029,AV.BRIG.GRAL.J.M.DE ROSAS 4351 ESQ.9 DE JULIO,JOSE LEON SUAREZ,EMERGENCIA,G-ALEXIS,TERMINADO,611900,TRUE,TRUE,APROBADO
10/1/2025 11:01:17,5733337,Tienda 1029 - Reparación piso de parking - ACONTEC,1029,AV.BRIG.GRAL.J.M.DE ROSAS 4351 ESQ.9 DE JULIO,JOSE LEON SUAREZ,PRESUPUESTO,G-ALEXIS,TERMINADO,128000,TRUE,TRUE,APROBADO
10/1/2025 15:21:33,5733889,T288 Puerta corrediza se descoloco no abre ni cierra,288,AV ACOYTE 232,CABALLITO,EMERGENCIA,G-MANU,TERMINADO,46900,TRUE,TRUE,APROBADO
10/1/2025 15:22:46,5733768,T110 LIMPIEZA DE TANQUE,110,AV ROCA 3729,TRUJUI,EMERGENCIA,G-NAZA,TERMINADO,166500,TRUE,TRUE,APROBADO
10/1/2025 15:24:09,5733781,T110 Pileta de baño despegada,110,AV ROCA 3729,TRUJUI,EMERGENCIA,G-ALEXIS,TERMINADO,46935,TRUE,TRUE,APROBADO
10/1/2025 15:25:05,5733812,T48 desague de mural tapado,48,HUMBERTO PRIMERO 1000,LUJAN,EMERGENCIA,G-ALEXIS,TERMINADO,291000,TRUE,TRUE,APROBADO
10/1/2025 15:26:11,5733983,TDA1009 TECHO ENTRADA POR CAERSE,1009,CL EVA PERON 297,LOMAS DEL MIRADOR,EMERGENCIA,G-MANU,TERMINADO,66000,TRUE,TRUE,APROBADO
10/1/2025 17:43:26,5734139,Tienda 5318 Caño roto de agua,5318,CRISOLOGO LARRALDE 992,MORON,EMERGENCIA,G-ALEXIS,TERMINADO,"46935,83",TRUE,TRUE,APROBADO
12/1/2025 8:39:57,5735161,Tienda 773 Puerta de ingreso trabada/pesada,773,AV LOPE DE VEGA 2839,VILLA REAL,EMERGENCIA,G-MANU,TERMINADO,46900,TRUE,TRUE,APROBADO
12/1/2025 8:41:25,5735107,T578 Puerta de entrada se desoldó,578,SIMBRON 5768,VILLA REAL,EMERGENCIA,G-MANU,TERMINADO,110300,TRUE,TRUE,APROBADO
12/1/2025 8:42:30,5734915,Tienda 68 Caño rotó en parking pierde agua,68,CAP.CLAUDIO ROSALES 1549,EL PALOMAR,EMERGENCIA,G-ALEXIS,TERMINADO,100000,TRUE,TRUE,APROBADO
12/1/2025 8:44:14,5735221,Tienda 94 Puerta ingreso al depósito desoldada y oxidada,94,VILLEGAS ESQUINA CAÑUELAS,WILLIAM MORRIS,EMERGENCIA,G-ALEXIS,TERMINADO,"100621,15",TRUE,TRUE,APROBADO
13/1/2025 12:51:51,5735922,Filtracion columnas centrales T5397 -,5397,AV BALBIN 2239,VILLA LYNCH,EMERGENCIA,G-ALEXIS,TERMINADO,46900,TRUE,TRUE,APROBADO
13/1/2025 12:34:57,5736935,T1022 -Agujero en la pared,1022,PRES.JUAN D.PERON 7230,MARTIN CORONADO,EMERGENCIA,G-ALEXIS,TERMINADO,86800,TRUE,TRUE,APROBADO
13/1/2025 11:54:06,5735353,T106 Relevamiento para refacción pavimento de estacionamiento - ACONTEC,106,9 DE JULIO 5300,VILLA BALLESTER,EMERGENCIA,G-ALEXIS,TERMINADO,46000,TRUE,TRUE,APROBADO
13/1/2025 13:33:33,5737115,T5281 caen placas del cielorraso,5281,AV MOSCONI 242,LOMAS DEL MIRADOR,EMERGENCIA,G-ALEXIS,TERMINADO,212800,TRUE,TRUE,APROBADO
13/1/2025 13:35:29,5737128,T5118 DESAGUE DE MURAL TAPADO,5118,AV GAONA 2443,RAMOS MEJIA,EMERGENCIA,G-ALEXIS,TERMINADO,105000,TRUE,TRUE,APROBADO
14/1/2025 13:24:02,5738562,Tienda 5501 - Puerta corrediza pesada - ACONTEC,5501,ZARATE 155,MERLO,EMERGENCIA,G-ALEXIS,TERMINADO,46900,TRUE,TRUE,APROBADO
14/1/2025 13:25:14,5738576,Tienda 183 - Portón estacionamiento trabado - ACONTEC,183,RODRIGUEZ PEÑA 1355,SANTOS LUGARES,EMERGENCIA,G-MANU,TERMINADO,73500,TRUE,TRUE,APROBADO
14/1/2025 13:26:12,5738581,Tienda 1022 - Robo de canilla de baños - ACONTEC,1022,PRES.JUAN D.PERON 7230,MARTIN CORONADO,EMERGENCIA,G-ALEXIS,TERMINADO,395500,TRUE,TRUE,APROBADO
